# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
      5.0000      5.216225   1
     19.0000     -5.141537  -1
     33.0000      5.059916   1
     46.0000     -4.995832  -1
     60.0000      4.996800   1
     73.0000     -4.968310  -1
     87.0000      5.041775   1
    101.0000     -5.071436  -1
    114.0000      5.149780   1
    128.0000     -5.221809  -1
    142.0000      5.247001   1
    155.0000     -5.279077  -1
    169.0000      5.251553   1
    182.0000     -5.193963  -1
    196.0000      5.144601   1
    210.0000     -5.049968  -1
    223.0000      5.015401   1
    237.0000     -4.974368  -1
    251.0000      4.969846   1
    264.0000     -5.019649  -1
    278.0000      5.106355   1
    291.0000     -5.162525  -1
    305.0000      5.243229   1
    318.0000     -5.279063  -1
    332.0000      5.265942   1
    345.0000     -5.248166  -1
    360.0000      5.164062   1
    373.0000     -5.107618  -1
    387.0000      5.041867   1
    400.0000     -4.998651  -1
    414.0000      4.998335   1
    427.0000     -5.009787  -1
    441.0000      5.077436   1
    454.0000     -5.137426  -1
    468.0000      5.183777   1
    481.0000     -5.262085  -1
    496.0000      5.284798   1
    508.0000     -5.263539  -1
    523.0000      5.236728   1
    536.0000     -5.175261  -1
    550.0000      5.103676   1
    563.0000     -5.054997  -1
    577.0000      4.997612   1
    590.0000     -4.998032  -1
    604.0000      4.997254   1
    617.0000     -5.064653  -1
    632.0000      5.145954   1
    644.0000     -5.192911  -1
    659.0000      5.274713   1
    672.0000     -5.269917  -1
    686.0000      5.262786   1
    699.0000     -5.242801  -1
    714.0000      5.134381   1
    726.0000     -5.094619  -1
    741.0000      5.005975   1
    753.0000     -4.966170  -1
    768.0000      4.989849   1
    781.0000     -5.019384  -1
    795.0000      5.109159   1
    808.0000     -5.167124  -1
    822.0000      5.238941   1
    835.0000     -5.276595  -1
    850.0000      5.256949   1
    862.0000     -5.253781  -1
    877.0000      5.192230   1
    890.0000     -5.107748  -1
    904.0000      5.061274   1
    917.0000     -5.019851  -1
    931.0000      4.988718   1
    944.0000     -5.006029  -1
    958.0000      5.039880   1
    971.0000     -5.092314  -1
    985.0000      5.166125   1
    998.0000     -5.199358  -1
   1013.0000      5.248919   1
   1026.0000     -5.259269  -1
   1040.0000      5.244273   1
   1053.0000     -5.195853  -1
   1067.0000      5.110410   1
   1080.0000     -5.048731  -1
   1094.0000      4.986617   1
   1107.0000     -4.946983  -1
   1121.0000      4.995315   1
   1135.0000     -5.054001  -1
   1148.0000      5.120478   1
   1162.0000     -5.203413  -1
   1176.0000      5.224051   1
   1189.0000     -5.266522  -1
   1203.0000      5.257617   1
   1216.0000     -5.190091  -1
   1230.0000      5.152980   1
   1244.0000     -5.071530  -1
   1257.0000      5.018369   1
   1271.0000     -4.998840  -1
   1284.0000      4.974251   1
   1298.0000     -5.020533  -1
   1311.0000      5.052322   1
   1325.0000     -5.112199  -1
   1338.0000      5.174075   1
   1353.0000     -5.244276  -1
   1366.0000      5.270497   1
