# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
      5.0000      5.218028   1
     19.0000     -5.143373  -1
     33.0000      5.059555   1
     46.0000     -4.998389  -1
     60.0000      4.997978   1
     73.0000     -4.971536  -1
     87.0000      5.044528   1
    101.0000     -5.072709  -1
    114.0000      5.153722   1
    128.0000     -5.223875  -1
    142.0000      5.248604   1
    155.0000     -5.282006  -1
    169.0000      5.253875   1
    182.0000     -5.197766  -1
    196.0000      5.147757   1
    210.0000     -5.051957  -1
    223.0000      5.019716   1
    237.0000     -4.977099  -1
    251.0000      4.972297   1
    264.0000     -5.023039  -1
    278.0000      5.110302   1
    291.0000     -5.166559  -1
    305.0000      5.248322   1
    318.0000     -5.283823  -1
    332.0000      5.271778   1
    345.0000     -5.253792  -1
    360.0000      5.167625   1
    373.0000     -5.111618  -1
    387.0000      5.046269   1
    400.0000     -5.003576  -1
    414.0000      5.003910   1
    427.0000     -5.015462  -1
    441.0000      5.084285   1
    454.0000     -5.143694  -1
    468.0000      5.191651   1
    481.0000     -5.268940  -1
    496.0000      5.290888   1
    508.0000     -5.271113  -1
    523.0000      5.243452   1
    536.0000     -5.181264  -1
    550.0000      5.110982   1
    563.0000     -5.061967  -1
    577.0000      5.005631   1
    590.0000     -5.005858  -1
    604.0000      5.006128   1
    617.0000     -5.073122  -1
    632.0000      5.153441   1
    644.0000     -5.201871  -1
    659.0000      5.283111   1
    672.0000     -5.277168  -1
    686.0000      5.271816   1
    699.0000     -5.250796  -1
    714.0000      5.141744   1
    726.0000     -5.103570  -1
    741.0000      5.013878   1
    753.0000     -4.976061  -1
    768.0000      4.998422   1
    781.0000     -5.027909  -1
    795.0000      5.118494   1
    808.0000     -5.176259  -1
    822.0000      5.248970   1
    835.0000     -5.286186  -1
    850.0000      5.265732   1
    862.0000     -5.263891  -1
    877.0000      5.201552   1
    890.0000     -5.116481  -1
    904.0000      5.071022   1
    917.0000     -5.029505  -1
    931.0000      4.998880   1
    944.0000     -5.016526  -1
    958.0000      5.050493   1
    971.0000     -5.103405  -1
    985.0000      5.177204   1
    998.0000     -5.210815  -1
   1013.0000      5.259038   1
   1026.0000     -5.269470  -1
   1040.0000      5.254896   1
   1053.0000     -5.206533  -1
   1067.0000      5.121417   1
   1080.0000     -5.060047  -1
   1094.0000      4.997932   1
   1107.0000     -4.958924  -1
   1121.0000      5.006909   1
   1135.0000     -5.065192  -1
   1148.0000      5.132344   1
   1162.0000     -5.215071  -1
   1175.0000      5.235702   1
   1189.0000     -5.278442  -1
   1203.0000      5.269126   1
   1216.0000     -5.202228  -1
   1230.0000      5.164805   1
   1244.0000     -5.082862  -1
   1257.0000      5.030431   1
   1271.0000     -5.010675  -1
   1284.0000      4.986484   1
   1298.0000     -5.032785  -1
   1311.0000      5.064683   1
   1325.0000     -5.124676  -1
