# 月行九道 — Ecliptic node crossings (β = 0)
# DE440 1900–2100, linear interpolation between 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day          lambda(deg)   type
# ----------   -----------   ----  (A=ascending, D=descending)
     11.9662     80.072589  D
     26.5103    259.292465  A
     39.0716     78.467871  D
     53.7011    256.749591  A
     66.1027     75.533897  D
     80.7444    253.672355  A
     93.2359     72.689542  D
    107.8117    251.576279  A
    120.5367     71.176349  D
    135.0215    250.945993  A
    147.9204     70.943390  D
    162.3476    251.017064  A
    175.2608     70.959601  D
    189.6917    250.584082  A
    202.4544     70.051376  D
    216.9470    248.855927  A
    229.5106     67.795617  D
    244.0617    246.022695  A
    256.5623     64.853484  D
    271.1122    243.323198  A
    283.7681     62.588724  D
    298.2332    241.930268  A
    311.1602     61.805606  D
    325.4824    241.789236  A
    338.6038     61.815838  D
    352.8001    241.728955  A
    365.9220     61.305033  D
    380.0649    240.440220  A
    393.0293     59.310445  D
    407.1966    237.646265  A
    420.0396     56.273692  D
    434.2598    234.639758  A
    447.1776     53.742154  D
    461.3792    232.882019  A
    474.5207     52.639695  D
    488.5990    232.525597  A
    501.9684     52.577237  D
    515.8703    232.603777  A
    529.3654     52.387840  D
    543.1116    231.939005  A
    556.5896     51.046904  D
    570.2663    229.903051  A
    583.6486     48.517710  D
    597.3556    227.015708  A
    610.6896     45.754350  D
    624.4656    224.601889  A
    637.8893     43.985839  D
    651.6613    223.569795  A
    665.2915     43.568169  D
    678.9221    223.592881  A
    692.7671     43.542699  D
    706.1645    223.403352  A
    720.1358     42.671047  D
    733.3112    221.780691  A
    747.2723     40.231710  D
    760.3830    218.789038  A
    774.2794     37.162165  D
    787.4950    215.915017  A
    801.3885     35.018144  D
    814.7171    214.477045  A
    828.7029     34.332922  D
    842.0033    214.343864  A
    856.1441     34.395385  D
    869.2601    214.344153  A
    883.5442     33.870678  D
    896.4195    213.331516  A
    910.7866     32.053719  D
    923.4966    210.979490  A
    937.8603     29.277248  D
    950.5858    208.082757  A
    964.8992     26.737713  D
    977.7822    205.964926  A
    992.0696     25.451816  D
   1005.0891    205.267180  A
   1019.4148     25.295760  D
   1032.4118    205.341133  A
   1046.8447     25.179928  D
   1059.6308    204.884868  A
   1074.1919     23.881425  D
   1086.7063    202.903962  A
   1101.3355     21.043426  D
   1113.7457    199.754838  A
   1128.3556     17.988076  D
