# 月行九道 — Ecliptic node crossings (β = 0)
# DE440 1900–2100, linear interpolation between 1-day steps
# Frame: fixed J2000 mean ecliptic approximation
#
# day          lambda(deg)   type
# ----------   -----------   ----  (A=ascending, D=descending)
     11.9775     81.612411  D
     26.5208    260.831864  A
     39.0833     80.009514  D
     53.7122    258.290346  A
     66.1142     77.074835  D
     80.7558    255.210697  A
     93.2467     74.225703  D
    107.8228    253.109909  A
    120.5468     72.706939  D
    135.0321    252.476227  A
    147.9303     72.472419  D
    162.3580    252.544437  A
    175.2711     72.487444  D
    189.7024    252.112344  A
    202.4649     71.580001  D
    216.9582    250.386101  A
    229.5211     69.324070  D
    244.0729    247.550732  A
    256.5723     66.378371  D
    271.1233    244.845625  A
    283.7775     64.108367  D
    298.2440    243.446814  A
    311.1693     63.320781  D
    325.4929    243.302581  A
    338.6127     63.328783  D
    352.8107    243.242862  A
    365.9314     62.820167  D
    380.0757    241.955542  A
    393.0391     60.825850  D
    407.2075    239.158671  A
    420.0490     57.784987  D
    434.2704    236.146177  A
    447.1863     55.246113  D
    461.3894    234.382178  A
    474.5286     54.137583  D
    488.6090    234.022311  A
    501.9763     54.074836  D
    515.8804    234.100449  A
    529.3735     53.883908  D
    543.1217    233.436138  A
    556.5981     52.542741  D
    570.2764    231.398033  A
    583.6570     50.010593  D
    597.3654    228.505459  A
    610.6975     47.241170  D
    624.4750    226.084835  A
    637.8966     45.467144  D
    651.6703    225.047841  A
    665.2985     45.044813  D
    678.9311    225.069720  A
    692.7741     45.018853  D
    706.1736    224.879977  A
    720.1431     44.147590  D
    733.3203    223.255669  A
    747.2797     41.704589  D
    760.3917    220.258745  A
    774.2865     38.628240  D
    787.5030    217.377153  A
    801.3949     36.476927  D
    814.7246    215.933572  A
    828.7090     35.787720  D
    842.0108    215.798679  A
    856.1501     35.849477  D
    869.2676    215.797855  A
    883.5503     35.323535  D
    896.4270    214.783904  A
    910.7929     33.504442  D
    923.5037    212.427636  A
    937.8665     30.722222  D
    950.5923    209.523791  A
    964.9050     28.175426  D
    977.7881    207.399297  A
    992.0748     26.884031  D
   1005.0949    206.697771  A
   1019.4198     26.724921  D
   1032.4175    206.770085  A
   1046.8498     26.608952  D
   1059.6366    206.313088  A
   1074.1970     25.308230  D
   1086.7118    204.328558  A
   1101.3405     22.463715  D
   1113.7505    201.171861  A
   1128.3601     19.399897  D
   1140.9221    198.477559  A
   1155.4548     17.624069  D
   1168.2635    197.367072  A
   1182.7189     17.277375  D
   1195.6444    197.325234  A
   1210.0889     17.329282  D
   1222.9299    197.121817  A
   1237.4228     16.484576  D
   1250.0609    195.736315  A
   1264.6263     14.255219  D
   1277.0995    193.125264  A
   1291.7031     11.347821  D
   1304.2008    190.339393  A
   1318.7662      9.073898  D
   1331.4688    188.577902  A
   1345.9322      8.168352  D
   1358.8671    188.128645  A
   1373.2190      8.208662  D
   1386.2696    188.192162  A
   1400.5468      7.942498  D
   1413.5205    187.397023  A
   1427.7989      6.262179  D
   1440.5816    185.073650  A
   1454.9108      3.231091  D
   1467.6037    181.928938  A
   1481.9643      0.342368  D
   1494.7992    179.586743  A
   1509.0975    358.946561  D
   1522.2048    178.851024  A
   1536.3414    358.844155  D
   1549.6622    178.850368  A
   1563.6226    358.783124  D
   1577.0048    178.350429  A
   1590.8491    357.611532  D
   1604.1515    176.540537  A
   1617.9800    355.126487  D
   1631.1795    173.778055  A
   1645.0641    352.285870  D
   1658.2723    171.284828  A
   1672.1932    350.361884  D
   1685.5487    169.989628  A
   1699.4070    349.781152  D
   1712.9797    169.817047  A
   1726.6686    349.870463  D
   1740.4255    169.729143  A
   1753.9006    349.398326  D
   1767.7202    168.498630  A
   1781.0402    347.435555  D
   1794.8024    165.843948  A
   1808.1142    344.331999  D
   1821.8132    162.834939  A
   1835.2365    341.683607  D
   1848.9838    160.990548  A
   1862.4662    340.603171  D
   1876.3716    160.596153  A
   1889.7447    340.626219  D
   1903.8388    160.564684  A
   1916.9737    340.405790  D
   1931.2084    159.678361  A
   1944.1021    338.884798  D
   1958.3744    157.379454  A
   1971.1726    336.148473  D
   1985.4078    154.507405  A
   1998.2926    333.395324  D
   2012.4846    152.353015  A
   2025.5232    331.789613  D
   2039.7264    151.511665  A
   2052.8276    331.459969  D
   2067.1198    151.542615  A
   2080.1154    331.541373  D
   2094.5347    151.211344  A
   2107.2960    330.773489  D
   2121.8290    149.529854  A
   2134.3591    328.479527  D
   2148.9284    146.575419  A
   2161.4222    325.320715  D
   2175.9464    143.725150  A
   2188.6286    322.918948  D
   2203.0865    142.311994  A
   2215.9771    322.139896  D
   2230.4082    142.178488  A
   2243.3390    322.220154  D
   2257.8086    142.046368  A
   2270.5696    321.713072  D
   2285.1307    140.736583  A
   2297.6475    319.789157  D
   2312.2816    138.062989  A
   2324.6885    316.868845  D
   2339.3286    135.189437  A
   2351.8471    314.305179  D
   2366.4162    133.385894  A
   2379.1724    313.089431  D
   2393.6305    132.903195  A
   2406.5731    312.936858  D
   2420.9509    132.981516  A
   2433.9157    312.857288  D
   2448.2754    132.428869  A
   2461.1008    311.737709  D
   2475.4967    130.392800  A
   2488.1370    309.179710  D
   2502.5846    127.313166  A
   2515.1954    306.145984  D
   2529.6411    124.714869  A
   2542.4495    304.142341  D
   2556.7979    123.664340  A
   2569.8800    303.637746  D
   2584.0726    123.716395  A
   2597.3238    303.683341  D
   2611.3684    123.441161  A
   2624.5989    302.800980  D
   2638.5816    121.751912  A
   2651.6760    300.503439  D
   2665.6877    118.875532  A
   2678.7018    297.578917  D
   2692.7680    116.164784  A
   2705.8657    295.398340  D
   2719.9166    114.739922  A
   2733.2232    294.605855  D
   2747.1489    114.543542  A
   2760.6706    294.568667  D
   2774.4096    114.586795  A
   2788.0672    294.264709  D
   2801.6250    113.730486  A
   2815.2842    292.695615  D
   2828.7520    111.432800  A
   2842.3266    289.917873  D
   2855.8321    108.389754  A
   2869.3696    287.147783  D
   2882.9679    106.122630  A
   2896.6028    285.636563  D
   2910.2048    105.403580  A
   2924.0378    285.447521  D
   2937.4783    105.500867  A
   2951.5057    285.320413  D
   2964.6905    104.984291  A
   2978.8203    283.980146  D
   2991.7993    102.957357  A
   3005.9194    281.305052  D
   3018.8709     99.944734  A
   3032.9392    278.454494  D
   3046.0173     97.445270  A
   3060.0796    276.726817  D
   3073.2720     96.354565  A
   3087.4014    276.285710  D
   3100.5663     96.301103  A
   3114.8264    276.293850  D
   3127.8119     96.207064  A
   3142.2166    275.663402  D
   3154.9516     95.021420  A
   3169.4421    273.611250  D
   3182.0108     92.465008  A
   3196.5002    270.647188  D
   3209.1092     89.486573  A
