# Lunar Nine Paths — Spectrum peaks for Ecliptic latitude (rad)
# FFT length: 73050
# Sampling rate:   1.0000 cycle/day
#
# rank  index   freq(cyc/day)  period(days)  power
# ---- -----  -------------  ------------  ------
     1  4817    3.675079E-02         27.21    3.542562E-04
     2    60    4.577637E-04       2184.53    1.087276E-06
     3  9573    7.303619E-02         13.69    9.971505E-07
     4  4060    3.097534E-02         32.28    3.835171E-07
     5  8937    6.818390E-02         14.67    4.386954E-08
     6   696    5.310059E-03        188.32    2.799833E-08
     7 13694    1.044769E-01          9.57    1.451321E-08
     8  4697    3.583527E-02         27.91    1.159407E-08
     9 14330    1.093292E-01          9.15    3.982447E-09
    10  5055    3.856659E-02         25.93    1.584702E-09
    11  4419    3.371429E-02         29.66    1.405520E-09
    12  8817    6.726837E-02         14.87    1.331406E-09
    13  4499    3.432465E-02         29.13    1.044601E-09
    14  4457    3.400421E-02         29.41    1.016509E-09
    15  5175    3.948212E-02         25.33    8.962213E-10
    16  5135    3.917694E-02         25.53    8.881475E-10
    17  3702    2.824402E-02         35.41    8.213406E-10
    18  5454    4.161072E-02         24.03    6.687508E-10
    19  5182    3.953552E-02         25.29    6.157823E-10
    20  4377    3.339386E-02         29.95    5.951941E-10
    21  4338    3.309631E-02         30.21    5.148207E-10
    22  4179    3.188324E-02         31.36    3.878475E-10
    23 18450    1.407623E-01          7.10    2.297478E-10
    24    17    1.296997E-04       7710.12    1.878811E-10
    25  9616    7.336426E-02         13.63    1.863589E-10
    26  5573    4.251862E-02         23.52    1.809185E-10
    27  5533    4.221344E-02         23.69    1.564818E-10
    28  3927    2.996063E-02         33.38    1.093025E-10
    29  3941    3.006744E-02         33.26    1.092215E-10
    30  3915    2.986908E-02         33.48    1.091222E-10
