# Lunar Nine Paths — Spectrum peaks for Ecliptic longitude residual (rad)
# Samples: 73050
# FFT length: 131072
# Sampling rate:   1.0000 cycle/day
#
# amp_deg is sinusoidal half-amplitude fitted at the peak frequency
#
# rank  index   freq(cyc/day)  period(days)  power          amp_deg
# ---- -----  -------------  ------------  ------         --------
     1  4757    3.629303E-02         27.55    5.568599E-04      6.183876
     2  4120    3.143311E-02         31.81    2.265508E-05      1.245495
     3  8877    6.772614E-02         14.77    6.208645E-06      0.657778
     4  9514    7.258606E-02         13.78    6.083241E-07      0.200021
     5   359    2.738953E-03        365.10    4.849370E-07      0.183270
     6  9633    7.349396E-02         13.61    1.765357E-07      0.108967
     7  4799    3.661346E-02         27.31    7.830770E-08      0.084898
     8   637    4.859924E-03        205.76    4.482628E-08      0.054189
     9  3761    2.869415E-02         34.85    4.241045E-08      0.054403
    10 13634    1.040192E-01          9.61    4.031601E-08      0.052855
    11  8518    6.498718E-02         15.39    2.989630E-08      0.045027
    12  4398    3.355408E-02         29.80    2.542238E-08      0.041821
    13  4838    3.691101E-02         27.09    2.084773E-08      0.031187
    14  5115    3.902435E-02         25.63    1.561929E-08      0.032689
    15  4875    3.719330E-02         26.89    1.302606E-08      0.012214
    16  4881    3.723907E-02         26.85    8.096324E-09      0.017912
    17  4879    3.722382E-02         26.86    8.038264E-09      0.009519
    18  4438    3.385925E-02         29.53    7.793822E-09      0.021081
    19  4478    3.416443E-02         29.27    4.833735E-09      0.017073
    20   756    5.767822E-03        173.38    3.060662E-09      0.013954
    21 14390    1.097870E-01          9.11    2.211942E-09      0.012599
    22  4448    3.393555E-02         29.47    2.124646E-09      0.003959
    23  4307    3.285980E-02         30.43    1.682203E-09      0.007693
    24  5035    3.841400E-02         26.03    1.666187E-09      0.001882
    25 12997    9.915924E-02         10.08    1.546004E-09      0.010039
    26  5075    3.871918E-02         25.83    1.442798E-09      0.010284
    27  5078    3.874207E-02         25.81    1.290748E-09      0.000495
    28  5087    3.881073E-02         25.77    1.255170E-09      0.000996
    29  5093    3.885651E-02         25.74    1.250599E-09      0.010087
    30 14270    1.088715E-01          9.19    1.248928E-09      0.009192
