# Lunar Nine Paths — Spectrum peaks for Geocentric distance (km)
# Samples: 73050
# FFT length: 131072
# Sampling rate:   1.0000 cycle/day
#
# rank  index   freq(cyc/day)  period(days)  power
# ---- -----  -------------  ------------  ------
     1     1    7.629395E-06     131072.00    7.093367E+09
     2  4757    3.629303E-02         27.55    2.024028E+07
     3  4120    3.143311E-02         31.81    6.083242E+05
     4  8877    6.772614E-02         14.77    4.016109E+05
     5   320    2.441406E-03        409.60    6.870027E+04
     6   360    2.746582E-03        364.09    5.751753E+04
     7   636    4.852295E-03        206.09    2.788073E+04
     8   648    4.943848E-03        202.27    1.617537E+04
     9  9514    7.258606E-02         13.78    1.531098E+04
    10   718    5.477905E-03        182.55    1.361044E+04
    11   755    5.760193E-03        173.61    1.249730E+04
    12   759    5.790710E-03        172.69    1.212396E+04
    13   994    7.583618E-03        131.86    7.337832E+03
    14  1000    7.629395E-03        131.07    7.005411E+03
    15  1117    8.522034E-03        117.34    5.646361E+03
    16  4397    3.354645E-02         29.81    2.261916E+03
    17  3762    2.870178E-02         34.84    1.880902E+03
    18  4799    3.661346E-02         27.31    1.519752E+03
    19  8519    6.499481E-02         15.39    1.428970E+03
    20  4437    3.385162E-02         29.54    9.920364E+02
    21 13634    1.040192E-01          9.61    9.830644E+02
    22  4478    3.416443E-02         29.27    9.475650E+02
    23  3045    2.323151E-02         43.04    7.943244E+02
    24  4517    3.446198E-02         29.02    7.832803E+02
    25  4307    3.285980E-02         30.43    6.862399E+02
    26  4321    3.296661E-02         30.33    6.845953E+02
    27  4441    3.388214E-02         29.51    6.785746E+02
    28  3404    2.597046E-02         38.51    6.733028E+02
    29  3364    2.566528E-02         38.96    6.619208E+02
    30  3367    2.568817E-02         38.93    6.574272E+02
