# 月行九道 — Ecliptic trajectory (λ, β)
# DE440 1900–2100, 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day          lambda(deg)   beta(deg)
      0.0000    272.417352      1.108782
      1.0000    286.886849      2.358120
      2.0000    301.578504      3.469665
      3.0000    316.370126      4.356191
      4.0000    331.133580      4.951223
      5.0000    345.753702      5.218028
      6.0000      0.142914      5.151382
      7.0000     14.247915      4.773125
      8.0000     28.048237      4.124616
      9.0000     41.549173      3.259165
     10.0000     54.772416      2.236079
     11.0000     67.747202      1.116570
     12.0000     80.503571     -0.039043
     13.0000     93.068383     -1.173502
     14.0000    105.464029     -2.234564
     15.0000    117.709409     -3.176772
     16.0000    129.822484     -3.962841
     17.0000    141.823659     -4.564373
     18.0000    153.739212     -4.961762
     19.0000    165.604180     -5.143373
     20.0000    177.464238     -5.104283
     21.0000    189.376368     -4.845020
     22.0000    201.408162     -4.370761
     23.0000    213.635612     -3.691424
     24.0000    226.139092     -2.822975
     25.0000    238.997064     -1.790078
     26.0000    252.277003     -0.629840
     27.0000    266.023426      0.604298
     28.0000    280.244050      1.840472
     29.0000    294.897140      2.990782
     30.0000    309.885340      3.960392
     31.0000    325.061756      4.662875
     32.0000    340.250661      5.037232
     33.0000    355.278159      5.059555
     34.0000     10.002200      4.744441
     35.0000     24.331515      4.136818
     36.0000     38.229376      3.299264
     37.0000     51.705154      2.300314
     38.0000     64.799931      1.206642
     39.0000     77.571715      0.079272
     40.0000     90.083321     -1.027476
     41.0000    102.393961     -2.065808
     42.0000    114.554398     -2.994094
     43.0000    126.605166     -3.776850
     44.0000    138.577258     -4.385121
     45.0000    150.494733     -4.797060
     46.0000    162.378575     -4.998389
     47.0000    174.251145     -4.982503
     48.0000    186.140485     -4.750123
     49.0000    198.083831     -4.308655
     50.0000    210.129822     -3.671528
     51.0000    222.339002     -2.857940
     52.0000    234.782244     -1.893357
     53.0000    247.536635     -0.810992
     54.0000    260.678154      0.345821
     55.0000    274.270544      1.521014
     56.0000    288.350374      2.644375
     57.0000    302.910046      3.633621
     58.0000    317.883445      4.402254
     59.0000    333.141662      4.873653
     60.0000    348.505577      4.997978
     61.0000      3.775667      4.764822
     62.0000     18.769712      4.205166
     63.0000     33.353949      3.381786
     64.0000     47.457436      2.373514
     65.0000     61.069046      1.260499
     66.0000     74.223532      0.114808
     67.0000     86.984348     -1.003239
     68.0000     99.428253     -2.044845
     69.0000    111.633735     -2.970793
     70.0000    123.673332     -3.749353
     71.0000    135.609246     -4.354841
     72.0000    147.491571     -4.767065
     73.0000    159.358643     -4.971536
     74.0000    171.239137     -4.960138
     75.0000    183.155527     -4.731886
     76.0000    195.128423     -4.293454
     77.0000    207.181117     -3.659302
     78.0000    219.343619     -2.851433
     79.0000    231.655465     -1.899018
     80.0000    244.166633     -0.838181
     81.0000    256.935975      0.287774
     82.0000    270.026567      1.427694
     83.0000    283.497428      2.521862
     84.0000    297.391409      3.502265
     85.0000    311.720153      4.295392
     86.0000    326.449115      4.829181
     87.0000    341.488232      5.044528
     88.0000    356.694873      4.909010
     89.0000     11.892609      4.427511
     90.0000     26.902003      3.643990
     91.0000     41.572646      2.632538
     92.0000     55.805037      1.481625
     93.0000     69.557079      0.278388
     94.0000     82.837573     -0.901874
     95.0000     95.692863     -1.999763
     96.0000    108.192319     -2.971070
     97.0000    120.415896     -3.783773
     98.0000    132.444820     -4.414712
     99.0000    144.355232     -4.847033
    100.0000    156.214215     -5.068793
    101.0000    168.077732     -5.072709
    102.0000    179.990137     -4.856819
    103.0000    191.985120     -4.425662
    104.0000    204.087910     -3.791580
    105.0000    216.318486     -2.975712
    106.0000    228.695304     -2.008400
    107.0000    241.238863     -0.928902
    108.0000    253.974289      0.215481
    109.0000    266.932159      1.370627
    110.0000    280.146833      2.476997
    111.0000    293.651847      3.471293
    112.0000    307.472293      4.288843
    113.0000    321.614886      4.867490
    114.0000    336.057562      5.153722
    115.0000    350.741816      5.111016
    116.0000      5.571706      4.728784
    117.0000     20.422278      4.028689
    118.0000     35.156824      3.064728
    119.0000     49.648250      1.915600
    120.0000     63.797870      0.671521
    121.0000     77.546449     -0.579748
    122.0000     90.876202     -1.763170
    123.0000    103.805773     -2.821069
    124.0000    116.381589     -3.712888
    125.0000    128.668461     -4.412128
    126.0000    140.741188     -4.902501
    127.0000    152.677767     -5.174619
    128.0000    164.554212     -5.223875
    129.0000    176.440719     -5.049641
    130.0000    188.398889     -4.655689
    131.0000    200.479893     -4.051548
    132.0000    212.723524     -3.254382
    133.0000    225.158216     -2.290876
    134.0000    237.802022     -1.198516
    135.0000    250.664411     -0.025722
    136.0000    263.748526      1.169495
    137.0000    277.053335      2.322357
    138.0000    290.575001      3.365272
    139.0000    304.306907      4.232418
    140.0000    318.238048      4.864552
    141.0000    332.349985      5.213831
    142.0000    346.613116      5.248604
    143.0000      0.983535      4.957933
    144.0000     15.401963      4.355098
    145.0000     29.795940      3.478811
    146.0000     44.085583      2.390787
    147.0000     58.192025      1.169163
    148.0000     72.046662     -0.101158
    149.0000     85.599116     -1.338809
    150.0000     98.822335     -2.474192
    151.0000    111.714262     -3.453927
    152.0000    124.296477     -4.241422
    153.0000    136.610723     -4.814639
    154.0000    148.714365     -5.162613
    155.0000    160.675582     -5.282006
    156.0000    172.568772     -5.174541
    157.0000    184.470319     -4.845676
    158.0000    196.454668     -4.304607
    159.0000    208.590569     -3.565468
    160.0000    220.937373     -2.649457
    161.0000    233.541409     -1.587377
    162.0000    246.432669     -0.421843
