# 月行九道 — Ecliptic trajectory (λ, β)
# DE440 1900–2100, 1-day steps
# Frame: fixed J2000 mean ecliptic approximation
#
# day          lambda(deg)   beta(deg)
      0.0000    273.813873      1.095878
      1.0000    288.283159      2.346121
      2.0000    302.974502      3.459363
      3.0000    317.765781      4.348277
      4.0000    332.528943      4.946216
      5.0000    347.148890      5.216225
      6.0000      1.538075      5.152849
      7.0000     15.643186      4.777708
      8.0000     29.443714      4.131983
      9.0000     42.944890      3.268843
     10.0000     56.168347      2.247504
     11.0000     69.143271      1.129119
     12.0000     81.899673     -0.026012
     13.0000     94.464402     -1.160626
     14.0000    106.859866     -2.222445
     15.0000    119.104991     -3.165956
     16.0000    131.217782     -3.953798
     17.0000    143.218684     -4.557483
     18.0000    155.134020     -4.957309
     19.0000    166.998851     -5.141537
     20.0000    178.858870     -5.105142
     21.0000    190.771060     -4.848547
     22.0000    202.802998     -4.376829
     23.0000    215.030646     -3.699801
     24.0000    227.534341     -2.833319
     25.0000    240.392497     -1.801931
     26.0000    253.672540     -0.642628
     27.0000    267.418948      0.591263
     28.0000    281.639420      1.827967
     29.0000    296.292239      2.979625
     30.0000    311.280102      3.951363
     31.0000    326.456197      4.656625
     32.0000    341.644879      5.034200
     33.0000    356.672303      5.059916
     34.0000     11.396420      4.748105
     35.0000     25.725924      4.143465
     36.0000     39.624023      3.308412
     37.0000     53.100021      2.311376
     38.0000     66.194949      1.218981
     39.0000     78.966782      0.092239
     40.0000     91.478326     -1.014517
     41.0000    103.788803     -2.053456
     42.0000    115.949003     -2.982900
     43.0000    127.999496     -3.767300
     44.0000    139.971319     -4.377621
     45.0000    151.888568     -4.791924
     46.0000    163.772259     -4.995832
     47.0000    175.644771     -4.982630
     48.0000    187.534151     -4.752934
     49.0000    199.477622     -4.314039
     50.0000    211.523797     -3.679271
     51.0000    223.733181     -2.867726
     52.0000    236.176607     -1.904769
     53.0000    248.931117     -0.823514
     54.0000    262.072653      0.332803
     55.0000    275.664938      1.508200
     56.0000    289.744542      2.632529
     57.0000    304.303904      3.623523
     58.0000    319.276975      4.394628
     59.0000    334.534926      4.869078
     60.0000    349.898708      4.996800
     61.0000      5.168825      4.767104
     62.0000     20.163033      4.210690
     63.0000     34.747506      3.390105
     64.0000     48.851230      2.384026
     65.0000     62.463010      1.272528
     66.0000     75.617564      0.127662
     67.0000     88.378333     -0.990229
     68.0000    100.822088     -2.032303
     69.0000    113.027341     -2.959282
     70.0000    125.066668     -3.739368
     71.0000    137.002311     -4.346804
     72.0000    148.884404     -4.761312
     73.0000    160.751315     -4.968310
     74.0000    172.631738     -4.959580
     75.0000    184.548155     -4.734028
     76.0000    196.521167     -4.298215
     77.0000    208.574038     -3.666490
     78.0000    220.736743     -2.860749
     79.0000    233.048775     -1.910061
     80.0000    245.560070     -0.850459
     81.0000    258.329446      0.274839
     82.0000    271.419956      1.414748
     83.0000    284.890621      2.509607
     84.0000    298.784316      3.491429
     85.0000    313.112737      4.286681
     86.0000    327.841410      4.823219
     87.0000    342.880343      5.041775
     88.0000    358.086952      4.909692
     89.0000     13.284808      4.431579
     90.0000     28.294427      3.651123
     91.0000     42.965325      2.642198
     92.0000     57.197921      1.493135
     93.0000     70.950068      0.291015
     94.0000     84.230543     -0.888854
     95.0000     97.085697     -1.987027
     96.0000    109.584929     -2.959222
     97.0000    121.808233     -3.773337
     98.0000    133.836879     -4.406128
     99.0000    145.747045     -4.840654
    100.0000    157.605851     -5.064882
    101.0000    169.469280     -5.071436
    102.0000    181.381698     -4.858247
    103.0000    193.376785     -4.429748
    104.0000    205.479749     -3.798166
    105.0000    217.710533     -2.984527
    106.0000    230.087550     -2.019064
    107.0000    242.631251     -0.940932
    108.0000    255.366728      0.202651
    109.0000    268.324534      1.357632
    110.0000    281.539029      2.464514
    111.0000    295.043769      3.460016
    112.0000    308.863896      4.279446
    113.0000    323.006188      4.860578
    114.0000    337.448645      5.149780
    115.0000    352.132817      5.110346
    116.0000      6.962777      4.731463
    117.0000     21.813546      4.034542
